policy,difficulty,schedule_exact,packet_f1,composite
apply_all_packets,easy,0.0,0.5,0.215
apply_all_packets,hard,0.0,0.5,0.15119022222222223
apply_all_packets,medium,0.0,0.5090909090909091,0.17333336363636365
gold,easy,1.0,1.0,1.0
gold,hard,1.0,1.0,1.0
gold,medium,1.0,1.0,1.0
ignore_updates,easy,0.0,0.0,0.12000000000000001
ignore_updates,hard,0.0,0.0,0.11111133333333334
ignore_updates,medium,0.0,0.0,0.12962933333333335
latest_visible_key,easy,0.6428571428571429,0.5714285714285714,0.6764285714285715
latest_visible_key,hard,0.23529411764705882,0.3137254901960784,0.3378150588235294
latest_visible_key,medium,0.47058823529411764,0.2745098039215686,0.5294117647058824
same_team_any_status,easy,0.0,0.5952380952380951,0.20642857142857143
same_team_any_status,hard,0.0,0.7104761904761905,0.1865714
same_team_any_status,medium,0.0,0.623015873015873,0.21845241666666668
