model_name,scenarios,parsed,unparsed,error,parsed_rate,mean_composite,mean_response_chars,dominant_error_type
google/gemini-2.5-flash,1,1,0,0,1.0,1.0,166.0,
google/gemini-2.5-pro,1,1,0,0,1.0,1.0,166.0,
google/gemini-3-flash-preview,1,1,0,0,1.0,1.0,164.0,
openai/gpt-oss-120b,1,1,0,0,1.0,1.0,122.0,
openai/gpt-oss-20b,1,1,0,0,1.0,1.0,104.0,
anthropic/claude-sonnet-4@20250514,1,1,0,0,1.0,0.9,1849.0,
google/gemini-2.0-flash,1,1,0,0,1.0,0.9,131.0,
deepseek-ai/deepseek-v3.2,1,1,0,0,1.0,0.27,135.0,
anthropic/claude-opus-4-1@20250805,1,1,0,0,1.0,0.19,1950.0,
anthropic/claude-haiku-4-5@20251001,1,1,0,0,1.0,0.12,1795.0,
google/gemma-3-27b,1,1,0,0,1.0,0.08,202.0,
